model,task,clf,metric,fold,score_cv,k
esmc_300M,aggregation_score,MLP,mcc,13,0.3125,15
esmc_300M,aggregation_score,MLP,mcc,14,0.6011,15
esmc_600M,fold_label,LogReg,f1_macro,0,0.671,15
esmc_600M,fold_label,LogReg,f1_macro,1,0.708,15
esmc_600M,fold_label,LogReg,f1_macro,2,0.6277,15
esmc_600M,fold_label,LogReg,f1_macro,3,0.6405,15
esmc_600M,fold_label,LogReg,f1_macro,4,0.5913,15
esmc_600M,fold_label,LogReg,f1_macro,5,0.5884,15
esmc_600M,fold_label,LogReg,f1_macro,6,0.6423,15
esmc_600M,fold_label,LogReg,f1_macro,7,0.5121,15
esmc_600M,fold_label,LogReg,f1_macro,8,0.5619,15
esmc_600M,fold_label,LogReg,f1_macro,9,0.6598,15
esmc_600M,fold_label,LogReg,f1_macro,10,0.6187,15
esmc_600M,fold_label,LogReg,f1_macro,11,0.6,15
esmc_600M,fold_label,LogReg,f1_macro,12,0.6385,15
esmc_600M,fold_label,LogReg,f1_macro,13,0.7056,15
esmc_600M,fold_label,LogReg,f1_macro,14,0.6259,15
esmc_600M,fold_label,RF,f1_macro,0,0.6833,15
esmc_600M,fold_label,RF,f1_macro,1,0.7202,15
esmc_600M,fold_label,RF,f1_macro,2,0.6866,15
esmc_600M,fold_label,RF,f1_macro,3,0.3861,15
esmc_600M,fold_label,RF,f1_macro,4,0.6688,15
esmc_600M,fold_label,RF,f1_macro,5,0.6017,15
esmc_600M,fold_label,RF,f1_macro,6,0.446,15
esmc_600M,fold_label,RF,f1_macro,7,0.4217,15
esmc_600M,fold_label,RF,f1_macro,8,0.4888,15
esmc_600M,fold_label,RF,f1_macro,9,0.4062,15
esmc_600M,fold_label,RF,f1_macro,10,0.425,15
esmc_600M,fold_label,RF,f1_macro,11,0.4249,15
esmc_600M,fold_label,RF,f1_macro,12,0.4129,15
esmc_600M,fold_label,RF,f1_macro,13,0.453,15
esmc_600M,fold_label,RF,f1_macro,14,0.4853,15
esmc_600M,fold_label,MLP,f1_macro,0,0.6997,15
esmc_600M,fold_label,MLP,f1_macro,1,0.6935,15
esmc_600M,fold_label,MLP,f1_macro,2,0.5879,15
esmc_600M,fold_label,MLP,f1_macro,3,0.5181,15
esmc_600M,fold_label,MLP,f1_macro,4,0.5496,15
esmc_600M,fold_label,MLP,f1_macro,5,0.5439,15
esmc_600M,fold_label,MLP,f1_macro,6,0.6267,15
esmc_600M,fold_label,MLP,f1_macro,7,0.4543,15
esmc_600M,fold_label,MLP,f1_macro,8,0.5357,15
esmc_600M,fold_label,MLP,f1_macro,9,0.4238,15
esmc_600M,fold_label,MLP,f1_macro,10,0.7099,15
esmc_600M,fold_label,MLP,f1_macro,11,0.5312,15
esmc_600M,fold_label,MLP,f1_macro,12,0.4822,15
esmc_600M,fold_label,MLP,f1_macro,13,0.4893,15
esmc_600M,fold_label,MLP,f1_macro,14,0.5625,15
esmc_600M,localization_class,LogReg,f1_macro,0,0.5643,15
esmc_600M,localization_class,LogReg,f1_macro,1,0.4744,15
esmc_600M,localization_class,LogReg,f1_macro,2,0.4483,15
esmc_600M,localization_class,LogReg,f1_macro,3,0.459,15
esmc_600M,localization_class,LogReg,f1_macro,4,0.546,15
esmc_600M,localization_class,LogReg,f1_macro,5,0.5006,15
esmc_600M,localization_class,LogReg,f1_macro,6,0.3787,15
esmc_600M,localization_class,LogReg,f1_macro,7,0.5213,15
esmc_600M,localization_class,LogReg,f1_macro,8,0.4831,15
esmc_600M,localization_class,LogReg,f1_macro,9,0.311,15
esmc_600M,localization_class,LogReg,f1_macro,10,0.4275,15
esmc_600M,localization_class,LogReg,f1_macro,11,0.568,15
esmc_600M,localization_class,LogReg,f1_macro,12,0.4638,15
esmc_600M,localization_class,LogReg,f1_macro,13,0.6174,15
esmc_600M,localization_class,LogReg,f1_macro,14,0.4158,15
esmc_600M,localization_class,RF,f1_macro,0,0.2879,15
esmc_600M,localization_class,RF,f1_macro,1,0.3771,15
esmc_600M,localization_class,RF,f1_macro,2,0.3688,15
esmc_600M,localization_class,RF,f1_macro,3,0.4044,15
esmc_600M,localization_class,RF,f1_macro,4,0.3787,15
esmc_600M,localization_class,RF,f1_macro,5,0.5212,15
esmc_600M,localization_class,RF,f1_macro,6,0.3816,15
esmc_600M,localization_class,RF,f1_macro,7,0.6199,15
esmc_600M,localization_class,RF,f1_macro,8,0.4751,15
esmc_600M,localization_class,RF,f1_macro,9,0.4021,15
esmc_600M,localization_class,RF,f1_macro,10,0.4385,15
esmc_600M,localization_class,RF,f1_macro,11,0.3934,15
esmc_600M,localization_class,RF,f1_macro,12,0.3406,15
esmc_600M,localization_class,RF,f1_macro,13,0.4694,15
esmc_600M,localization_class,RF,f1_macro,14,0.4356,15
esmc_600M,localization_class,MLP,f1_macro,0,0.619,15
esmc_600M,localization_class,MLP,f1_macro,1,0.4342,15
esmc_600M,localization_class,MLP,f1_macro,2,0.4291,15
esmc_600M,localization_class,MLP,f1_macro,3,0.3778,15
esmc_600M,localization_class,MLP,f1_macro,4,0.38,15
esmc_600M,localization_class,MLP,f1_macro,5,0.49,15
esmc_600M,localization_class,MLP,f1_macro,6,0.516,15
esmc_600M,localization_class,MLP,f1_macro,7,0.6036,15
esmc_600M,localization_class,MLP,f1_macro,8,0.6391,15
esmc_600M,localization_class,MLP,f1_macro,9,0.4645,15
esmc_600M,localization_class,MLP,f1_macro,10,0.5223,15
esmc_600M,localization_class,MLP,f1_macro,11,0.5772,15
esmc_600M,localization_class,MLP,f1_macro,12,0.4442,15
esmc_600M,localization_class,MLP,f1_macro,13,0.4625,15
esmc_600M,localization_class,MLP,f1_macro,14,0.4115,15
esmc_600M,species_label,LogReg,f1_macro,0,0.8444,15
esmc_600M,species_label,LogReg,f1_macro,1,0.8472,15
esmc_600M,species_label,LogReg,f1_macro,2,0.896,15
esmc_600M,species_label,LogReg,f1_macro,3,0.8272,15
esmc_600M,species_label,LogReg,f1_macro,4,0.9591,15
esmc_600M,species_label,LogReg,f1_macro,5,0.6667,15
esmc_600M,species_label,LogReg,f1_macro,6,0.7597,15
esmc_600M,species_label,LogReg,f1_macro,7,0.9143,15
esmc_600M,species_label,LogReg,f1_macro,8,0.9222,15
esmc_600M,species_label,LogReg,f1_macro,9,0.7381,15
esmc_600M,species_label,LogReg,f1_macro,10,0.8042,15
esmc_600M,species_label,LogReg,f1_macro,11,0.841,15
esmc_600M,species_label,LogReg,f1_macro,12,0.7865,15
esmc_600M,species_label,LogReg,f1_macro,13,0.6625,15
esmc_600M,species_label,LogReg,f1_macro,14,0.8434,15
esmc_600M,species_label,RF,f1_macro,0,0.6071,15
esmc_600M,species_label,RF,f1_macro,1,0.6878,15
esmc_600M,species_label,RF,f1_macro,2,0.9035,15
esmc_600M,species_label,RF,f1_macro,3,0.4268,15
esmc_600M,species_label,RF,f1_macro,4,0.9591,15
esmc_600M,species_label,RF,f1_macro,5,0.6518,15
esmc_600M,species_label,RF,f1_macro,6,1.0,15
esmc_600M,species_label,RF,f1_macro,7,0.9524,15
esmc_600M,species_label,RF,f1_macro,8,0.9222,15
esmc_600M,species_label,RF,f1_macro,9,0.6916,15
esmc_600M,species_label,RF,f1_macro,10,0.9511,15
esmc_600M,species_label,RF,f1_macro,11,0.6786,15
esmc_600M,species_label,RF,f1_macro,12,0.6786,15
esmc_600M,species_label,RF,f1_macro,13,0.7091,15
esmc_600M,species_label,RF,f1_macro,14,0.7595,15
esmc_600M,species_label,MLP,f1_macro,0,0.9222,15
